questId	tag	sim	local_v83_en	remote_en	remote_zh
2235	needs-review	0.48	Manji's Request	[Sleepywood] Manji's Apprentice	麦吉的弟子
2236	likely-same	0.69	How to Shoo Away the Evil	[Sleepywood] To Shoo Away Evil	赶走恶魔的方法
2237	likely-same	0.83	The Owner of the Mysterious Note	[Sleepywood] The Owner of the Mysterious Note	被丢弃的纸条的主人
2238	likely-same	0.62	Who is the Owner of the Mysterious Note?	[Sleepywood] The Note's Mysterious Owner	纸条的主人是？
2239	likely-same	0.75	Balrog and the Seal	[Sleepywood] Balrog and the Seal	蝙蝠魔的封印
2240	likely-same	0.77	A Letter to the Master	[Sleepywood] A Letter to the Master	写给老师的书信
2241	likely-same	0.81	A Request to His Apprentice	[Sleepywood] A Request to His Apprentice	对弟子的嘱咐
2300	needs-review	0.50	Endangered Mushking Empire	Mushking in Danger	危机中的蘑菇王国
2301	needs-review	0.50	Endangered Mushking Empire	Mushking in Danger	危机中的蘑菇王国
2302	needs-review	0.50	Endangered Mushking Empire	Mushking in Danger	危机中的蘑菇王国
2303	needs-review	0.50	Endangered Mushking Empire	Mushking in Danger	危机中的蘑菇王国
2304	needs-review	0.50	Endangered Mushking Empire	Mushking in Danger	危机中的蘑菇王国
2305	needs-review	0.50	Endangered Mushking Empire	Mushking in Danger	危机中的蘑菇王国
2306	needs-review	0.50	Endangered Mushking Empire	Mushking in Danger	危机中的蘑菇王国
2307	needs-review	0.50	Endangered Mushking Empire	Mushking in Danger	危机中的蘑菇王国
2308	needs-review	0.50	Endangered Mushking Empire	Mushking in Danger	危机中的蘑菇王国
2309	needs-review	0.50	Endangered Mushking Empire	Mushking in Danger	危机中的蘑菇王国
2310	needs-review	0.50	Endangered Mushking Empire	Mushking in Danger	危机中的蘑菇王国
2400	likely-same	0.93	Training Center for Beginner Warriors	Training Center for Beginning Warriors	新手战士修炼场
2402	likely-same	0.93	Training Center for Beginner Thieves	Training Center for Beginning Thieves	新手飞侠修炼场
2404	likely-same	0.93	Training Center for Beginner Pirates	Training Center for Beginning Pirates	新手海盗修炼场
3016	likely-same	0.76	Hella is Found!	Hella is Finally Found	终于找到了赫拉
3020	needs-review	0.38	Collecting Wolf Skin	The Ring's Secret	戒指的秘密
3029	needs-review	0.29	All the Map Pieces in One Place	The Scattered Map	散落的地图碎片
3035	likely-same	0.73	Alcaster and the Dark Crystal	Alcaster and the Star Rock	阿尔卡斯特和星石
3042	needs-review	0.20	Delivering a Mysterious Item	A World Apart	到新世界去
3049	needs-review	0.50	Estelle and the Syrup	Sweet Syrup	甜蜜果浆
3050	needs-review	0.21	Alfonse's Smile	A Happy Fellow	阿尔冯丝的微笑
3052	needs-review	0.37	Acquiring Materials for the Fur Coat	A Man and His Furs	斯卡德的新毛皮
3058	likely-same	0.98	Lisa's Special Medicine III	Lisa's Special Medicine II	莉萨的特殊治疗剂 Ⅱ
3065	likely-same	0.70	Hughes's Hobby	[Aqua Road] Hughes's Hobby	秀兹的兴趣
3066	likely-same	0.80	Hughes's Weird Invention	[Aqua Road] Hughes's Weird Invention	秀兹的奇怪发明
3067	likely-same	0.84	A Healthy Snack for the Huskies	[Aqua Road] A Healthy Snack for the Huskies	雪犬的营养零食
3068	likely-same	0.81	Hughes's Research Material	[Aqua Road] Hughes's Research Material	秀兹的研究材料
3072	likely-same	0.78	The Bottled-up Letter	[Aqua Road] The Bottled-up Letter	瓶子里的信件
3073	likely-same	0.68	Robinson's ID	[Aqua Road] Robinson's ID	鲁宾逊的ID卡
3080	likely-same	0.75	Kenta's Research 1	[Aqua Road] Kenta's Research 1	坎特的海底生物调查1
3081	likely-same	0.75	Kenta's Research 2	[Aqua Road] Kenta's Research 2	坎特的海底生物调查2
3082	likely-same	0.75	Kenta's Research 3	[Aqua Road] Kenta's Research 3	坎特的海底生物调查3
3101	likely-same	0.78	Hughes's New Experiement	[Aqua Road] Hughes's New Experiment	秀兹的新发明
3106	needs-review	0.41	Snowman Legend	The Legend of Nyalmo	传说中的雪人
3107	likely-same	0.67	Snowman's Rage	Nyalmo's Rage	雪人的愤怒
3108	likely-same	0.62	Snowman's Rage-Found a clue	Found a Clue	雪人的愤怒-发现线索
3109	likely-same	0.70	Holding Back the Snowman	Holding Back Nyalmo	阻击雪人
3114	likely-same	0.86	Eliza's Eternal Sleep	Eliza's Eternal Slumber	艾利杰的长觉
3207	likely-same	0.78	Nemi's First Ingredient	Nemi's Flavorful Ingredients	乃米的美味料理材料
3208	needs-review	0.45	Nemi's Second Ingredient	Nemi's Lunch Box	乃米的便当材料
3231	likely-same	0.78	The Broken Clocktower	[Ludibrium] The Broken Clocktower	被损伤的时间塔
3232	likely-same	0.79	Grandpa Clock's Crisis	[Ludibrium] Grandpa Clock's Crisis	挂钟的拜托
3238	likely-same	0.86	Mac the Mechanic's Maintenance Manual	[Ludibrium] Mac the Mechanic's Maintenance Manual	机械工 麦戈的文件
3248	likely-same	0.88	Operation Strategy 1 : Collect All the Eggs	[Ludibrium] Operation Strategy 1 : Collect All the Eggs	作战第1阶段：回收蛋
3249	likely-same	0.88	Operation Strategy 2 : Defeat the Monsters	[Ludibrium] Operation Strategy 2 : Defeat the Monsters	作战第2阶段：消灭怪物
3250	likely-same	0.86	Operation Strategy 3: A Cute Baby Bird	[Ludibrium] Operation Strategy 3: A Cute Baby Bird	作战第3阶段：可爱的小鸟
3300	likely-same	0.70	A Deal with the Broker	[Magatia's Secret] A Deal with the Broker	和后街小贩的交易
3301	likely-same	0.80	Test from the Head of Zenumist Society	[Magatia's Secret] Test from the Head of Zenumist Society	蒙特鸠协会会长的考试
3302	needs-review	0.58	Zenumist Cape	[Magatia's Secret] Zenumist Cape	蒙特鸠披风
3303	likely-same	0.80	Test from the Head of Alcadno Society	[Magatia's Secret] Test from the Head of Alcadno Society	卡帕莱特协会会长的考试
3304	needs-review	0.56	Alcadno Cape	[Magatia's Secret] Alcadno Cape	卡帕莱特披风
3305	likely-same	0.84	Re-acquiring Zenumist Cape	[Magatia] Re-acquiring Zenumist Cape	再次获得蒙特鸠披风
3306	likely-same	0.83	Re-acquiring Alcadno Cape	[Magatia] Re-acquiring Alcadno Cape	再次获得卡帕莱特披风
3307	likely-same	0.64	Helping Out Bedin	[Magatia's Secret] Helping Out Bedin	协助贝丁研究
3308	likely-same	0.75	Getting in the Way of Alcadno	[Magatia's Secret] Getting in the Way of Alcadno	妨碍卡帕莱特
3309	likely-same	0.80	An Incident, and the Missing Alchemist	[Magatia's Secret] An Incident, and the Missing Alchemist	事件，及失踪的炼金术士
3310	likely-same	0.67	Carson's Experiment	[Magatia's Secret] Carson's Experiment	卡森的考试
3311	needs-review	0.30	Clue	[Magatia's Secret] Clue	线索
3312	likely-same	0.77	Russellon's Items for Experiment	[Magatia's Secret] Russellon's Items for Experiment	罗赛伦的研究材料
3313	likely-same	0.63	Destroy the Roid	[Magatia's Secret] Destroy the Roid	破坏洛伊德
3314	likely-same	0.80	Life Alchemy, and the Missing Alchemist	[Magatia's Secret] Life Alchemy, and the Missing Alchemist	生命炼金，及失踪的炼金术士
3315	likely-same	0.64	Maed's Experiment	[Magatia's Secret] Maed's Experiment	麦麦德的考试
3316	likely-same	0.69	Han the Broker's Info	[Magatia's Secret] Han the Broker's Info	后街小贩的情报
3317	likely-same	0.68	Dr. De Lang's Friend	[Magatia's Secret] Dr. De Lang's Friend	德朗博士的朋友
3318	likely-same	0.63	Parwen the Ghost	[Magatia's Secret] Parwen the Ghost	幽灵疯老头
3319	needs-review	0.56	Parwen's Lab	[Magatia's Secret] Parwen's Lab	疯老头的实验室
3320	likely-same	0.64	What Parwen Knows	[Magatia's Secret] What Parwen Knows	疯老头知道的事情
3321	likely-same	0.78	Dr. De Lang, the Missing Alchemist	[Magatia's Secret] Dr. De Lang, the Missing Alchemist	失踪的炼金术士——德朗博士
3322	likely-same	0.64	Phyllia's Pendant	[Magatia's Secret] Phyllia's Pendant	琵丽雅的银坠饰
3323	likely-same	0.77	Phyllia's Concern	[Magatia] Phyllia's Concern	琵丽雅的担心
3324	likely-same	0.81	Ericsson's Ingredients	[Magatia] Ericsson's Ingredients	艾利逊的制药材料
3325	likely-same	0.77	A Sip of the Moon	[Magatia] A Sip of the Moon	藏有月光的瓶子
3326	likely-same	0.74	Keeny's Secret	[Magatia] Keeny's Secret	琦尼的秘密
3327	likely-same	0.88	Ericsson's Ingredients for Medicine 2	[Magatia] Ericsson's Ingredients for Medicine 2	艾利逊的制药材料2
3328	likely-same	0.76	A Sip of the Sun	[Magatia] A Sip of the Sun	藏有阳光的瓶子
3329	likely-same	0.83	Keeny's Research on Roid	[Magatia] Keeny's Research on Roid	琦尼的洛伊德研究
3330	likely-same	0.86	Keeny's Research on Neo Huroid!	[Magatia] Keeny's Research on Neo Huroid!	琦尼的氯化洛伊德研究
3331	likely-same	0.80	Keeny's Research on D.Roid!!	[Magatia] Keeny's Research on D.Roy!!	琦尼的D.罗伊研究！！！
3332	likely-same	0.81	Keeny's Pal Humanoid A	[Magatia] Keeny's Pal Humanoid A	琦尼的朋友人造人A
3333	likely-same	0.79	A Present for Keeny	[Magatia] A Present for Keeny	给琦尼的礼物
3334	likely-same	0.67	Humanoid A	[Magatia] Humanoid A	人造人A
3335	likely-same	0.83	A Rose from the Snowfield	[Magatia] A Rose from the Snowfield	雪原玫瑰
3336	likely-same	0.89	Acquiring the Seed for the Snowfield Rose	[Magatia] Acquiring the Seed for the Snowfield Rose	寻找雪原玫瑰的种子
3337	likely-same	0.86	The Importance of Life Alchemy	[Magatia] The Importance of Life Alchemy	生命炼金的必要性
3338	likely-same	0.86	The Problems with Life Alchemy	[Magatia] The Problems with Life Alchemy	生命炼金的问题点
3339	likely-same	0.77	Dr. De Lang's Underground Study	[Magatia's Secret] Dr. De Lang's Underground Study	德朗博士的地下书库
3340	likely-same	0.73	The Key to the Secret Book	[Magatia's Secret] The Key to the Secret Book	秘密书的钥匙
3341	likely-same	0.73	Dr. De Lang's Secret Notes	[Magatia's Secret] Dr. De Lang's Secret Notes	德朗博士的秘密记事本
3342	likely-same	0.74	The Truth About Dr. De Lang	[Magatia's Secret] The Truth About Dr. De Lang	德朗博士的真实
3343	likely-same	0.63	The Hidden Words	[Magatia's Secret] The Hidden Words	隐藏的文字
3344	likely-same	0.70	The Secrets of Magatia	[Magatia's Secret] The Secrets of Magatia	玛加提亚的秘密
3345	needs-review	0.53	The Black Magician's Magic Pentagram	[Magatia's Secret] The Black Mage's Pentacle	黑魔法师的魔法阵
3346	likely-same	0.63	The Brutal Truth	[Magatia's Secret] The Brutal Truth	残酷的事实
3347	likely-same	0.71	For Zenumist	[Magatia] For Zenumist	为了蒙特鸠
3348	likely-same	0.69	For Alcadno	[Magatia] For Alcadno	为了卡帕莱特
3349	likely-same	0.69	For Phyllia	[Magatia] For Phyllia	为了琵丽雅
3350	likely-same	0.86	Re-acquiring Dr. De Lang's Notes	[Magatia] Re-acquiring Dr. De Lang's Notes	再次获得德朗博士的记事本
3351	likely-same	0.85	Re-acquiring Dr. De Lang's Notes 	[Magatia] Re-acquiring Dr. De Lang's Notes	再次获得德朗博士的记事本
3352	likely-same	0.84	Re-acquiring Dr. De Lang's Notes  	[Magatia] Re-acquiring Dr. De Lang's Notes	再次获得德朗博士的记事本
3353	likely-same	0.65	What De Lang Wants	[Magatia's Secret] What De Lang Wants	德朗博士所希望的
3354	likely-same	0.63	De Lang's Potion	[Magatia's Secret] De Lang's Potion	德朗博士的药
3355	likely-same	0.73	The Memories of Humanoid A	[Magatia's Secret] The Memories of Humanoid A	人造人A的记忆
3356	likely-same	0.61	Who is De Lang?	[Magatia's Secret] Who is De Lang?	德朗博士是谁
3357	likely-same	0.70	De Lang and Humanoid A	[Magatia's Secret] De Lang and Humanoid A	德朗博士和人造人A
3358	likely-same	0.72	Parwen's Pass	[Magatia] Parwen's Pass	疯老头的出入证
3359	likely-same	0.85	Searching for the Master Key	[Magatia] Searching for the Master Key	寻找主密码
3361	likely-same	0.88	Zenumist and the Ostracized Research	[Magatia] Zenumist and the Ostracized Research	被排斥的研究与蒙特鸠
3362	likely-same	0.88	Alcadno and the Ostracized Research	[Magatia] Alcadno and the Ostracized Research	被排斥的研究与卡帕莱特
3363	likely-same	0.81	Studying Frankenroid 1	[Magatia] Studying Frankenroid 1	法兰肯研究1
3364	likely-same	0.81	Studying Frankenroid 2	[Magatia] Studying Frankenroid 2	法兰肯研究2
3365	likely-same	0.76	Yulete's Request	[Magatia] Yulete's Request	犹泰的委托
3366	likely-same	0.78	Making the Reagent	[Magatia] Making the Reagent	制作试剂
3367	likely-same	0.83	Organizing the Lab Report	[Magatia] Organizing the Lab Report	整理研究文件
3368	likely-same	0.81	Eliminating Obstacles	[Magatia] Eliminating Obstacles	清除研究障碍
3369	likely-same	0.75	Romeo's Present	[Magatia] Romeo's Present	罗密欧的礼物
3370	likely-same	0.75	Romeo's Flowers	[Magatia] Romeo's Flowers	罗密欧的花束
3371	likely-same	0.77	Juliet's Feelings	[Magatia] Juliet's Feelings	朱丽叶的心
3372	likely-same	0.83	Sirin's Tailoring Methods	[Magatia] Sirin's Tailoring Methods	西琳的缝纫技法
3373	likely-same	0.77	Juliet's Response	[Magatia] Juliet's Response	朱丽叶的回礼
3374	likely-same	0.81	Writing Romeo's Letter	[Magatia] Writing Romeo's Letter	罗密欧写信
3375	likely-same	0.79	Romeo's Love Letter	[Magatia] Romeo's Love Letter	罗密欧的情书
3376	likely-same	0.79	Juliet is Impressed	[Magatia] Juliet is Impressed	朱丽叶的感动
3377	likely-same	0.82	Han the Broker's Recipe	[Magatia] Han the Broker's Recipe	后街小贩的食谱
3378	likely-same	0.77	Juliet's Lunchbox	[Magatia] Juliet's Lunchbox	朱丽叶的盒饭
3379	likely-same	0.74	Romeo Proposes	[Magatia] Romeo Proposes	罗密欧求婚
3380	likely-same	0.86	Allegro, the Master of the Rings	[Magatia] Allegro, the Master of the Rings	戒指工匠阿尔雷哥
3381	likely-same	0.81	The Unidentified Group	[Magatia] The Unidentified Group	不确定的集团
3382	likely-same	0.75	Yulete's Reward	[Magatia] Yulete's Reward	犹泰的报答
3383	likely-same	0.72	Moren's Upset	[Magatia] Moren's Upset	威尔斯的惋惜
3384	likely-same	0.79	Gordon's Magic Iron	[Magatia] Gordon's Magic Iron	高登的魔法熨斗
3385	likely-same	0.79	Gordon's Warm Heart	[Magatia] Gordon's Warm Heart	高登的宽广心胸
3430	likely-same	0.93	Collecting 100 Mateon Tentacles	Collecting Mateon Tentacles	搜集外星章鱼枪的触角
3437	likely-same	0.77	Eliminating Plateon and Mecateon	Eliminating Mecateon	消灭外星章鱼激光棒
3500	likely-same	0.65	Path to the Past	[Temple of Time] Path to the Past	过去之路
3501	likely-same	0.80	The One Who Walks Down Memory Lane1	[Temple of Time] The One Who Walks Down Memory Lane 1	追随追忆之路的人1
3502	likely-same	0.80	The One Who Walks Down Memory Lane2	[Temple of Time] The One Who Walks Down Memory Lane 2	追随追忆之路的人2
3503	likely-same	0.80	The One Who Walks Down Memory Lane3	[Temple of Time] The One Who Walks Down Memory Lane 3	追随追忆之路的人3
3504	likely-same	0.80	The One Who Walks Down Memory Lane4	[Temple of Time] The One Who Walks Down Memory Lane 4	追随追忆之路的人4
3505	likely-same	0.80	The One Who Walks Down Memory Lane5	[Temple of Time] The One Who Walks Down Memory Lane 5	追随追忆之路的人5
3506	needs-review	0.56	Lost Memory	[Temple of Time] Lost Memory	忘却的追忆
3507	likely-same	0.60	Memory Keeper	[Temple of Time] Memory Keeper	记忆旁观者
3508	likely-same	0.83	The One Who Walks Down the Road of Regrets1	[Temple of Time] The One Who Walks Down the Road of Regrets 1	追随后悔之路的人1
3509	likely-same	0.83	The One Who Walks Down the Road of Regrets2	[Temple of Time] The One Who Walks Down the Road of Regrets 2	追随后悔之路的人2
3510	likely-same	0.83	The One Who Walks Down the Road of Regrets3	[Temple of Time] The One Who Walks Down the Road of Regrets 3	追随后悔之路的人3
3511	likely-same	0.83	The One Who Walks Down the Road of Regrets4	[Temple of Time] The One Who Walks Down the Road of Regrets 4	追随后悔之路的人4
3512	likely-same	0.83	The One Who Walks Down the Road of Regrets5	[Temple of Time] The One Who Walks Down the Road of Regrets 5	追随后悔之路的人5
3513	likely-same	0.64	Frozen Emotions	[Temple of Time] Frozen Emotions	冰冻的感情
3514	likely-same	0.78	The Sorcerer Who Sells Emotions	[Temple of Time] The Sorcerer Who Sells Emotions	出售情感的魔法术士
3515	likely-same	0.75	The One Who Walks Through the Road to Oblivion1	[Temple of Time] The One Who Walks Down the Road to Oblivion 1	追随忘却之路的人1
3516	likely-same	0.75	The One Who Walks Through the Road to Oblivion2	[Temple of Time] The One Who Walks Down the Road to Oblivion 2	追随忘却之路的人2
3517	likely-same	0.75	The One Who Walks Through the Road to Oblivion3	[Temple of Time] The One Who Walks Down the Road to Oblivion 3	追随忘却之路的人3
3518	likely-same	0.75	The One Who Walks Through the Road to Oblivion4	[Temple of Time] The One Who Walks Down the Road to Oblivion 4	追随忘却之路的人4
3519	likely-same	0.75	The One Who Walks Through the Road to Oblivion5	[Temple of Time] The One Who Walks Down the Road to Oblivion 5	追随忘却之路的人5
3520	likely-same	0.75	The Goddess' Blessing	[Pink Bean] Goddess's Blessing	女神的祝福
3521	likely-same	0.65	Force Field	[Pink Bean] Force Field	结界
3522	likely-same	0.73	Beyond the Ruins	[Pink Bean] Beyond the Ruins	废墟之外
3523	needs-review	0.48	In Search for the Lost Memory	[Temple of Time] Seeking Lost Memories	追随遗忘的记忆
3524	needs-review	0.48	In Search for the Lost Memory	[Temple of Time] Seeking Lost Memories	追随遗忘的记忆
3525	needs-review	0.48	In Search for the Lost Memory	[Temple of Time] Seeking Lost Memories	追随遗忘的记忆
3526	needs-review	0.48	In Search for the Lost Memory	[Temple of Time] Seeking Lost Memories	追随遗忘的记忆
3527	needs-review	0.48	In Search for the Lost Memory	[Temple of Time] Seeking Lost Memories	追随遗忘的记忆
3528	likely-same	0.80	Breaking the Force Field	[Pink Bean] Breaking the Force Field	打破结界
3529	needs-review	0.48	In Search for the Lost Memory	[Temple of Time] Seeking Lost Memories	追随遗忘的记忆
3534	needs-review	0.18	There's no reason to believe that yet, but we should check just in case.  Go visit #b#p2140003##k and ask what happened to the Goddess' promise.  He is the Record Keeper of everything, so he is the only one who would be able to tell you.	The One Who Walks Through the Road to Oblivion 5	追随忘却之路的人5
3539	needs-review	0.58	Searching for Lost Memories	[Temple of Time] Seeking Lost Memories	追随遗忘的记忆
3620	likely-same	0.95	Extracting Artemesia	Extracting Artemisia	采艾蒿
3707	likely-same	0.84	 The Last Hour of Horntail	[Horntail] The Last Hour of Horntail	黑暗龙王的末日
3714	likely-same	0.95	The Remnants of Horned Tail...	The Remnants of Horntail...	黑龙留下的...
3715	likely-same	0.71	The Suspicious Wanderer	Mysterious Wanderer	奇怪的流浪者
3810	likely-same	0.97	The Legendary Being's Scroll 2	The Legendary Being's Scroll	神仙的条幅
3841	needs-review	0.45	Master Goblin's Call	King Sage Cat's Call	妖怪禅师的召唤
3843	likely-same	0.63	Master Goblin's Questions	The King Sage Cat's Questions	妖怪禅师的提问
3900	likely-same	0.87	Learning the Culture of Ariant	[Ariant] Learning the Culture of Ariant	学习阿里安特的文化
3905	likely-same	0.79	Queen's Tea 3	The Queen's Tea	王妃的茶
3953	likely-same	0.97	Convince Muhamad	Convince Muhammad	说服莫哈莫德
4302	likely-same	0.84	Hanako's Foxtail Muffler 1	Mariwaka's Fox Tail Muffler 1	花子的狐狸披肩1
4303	likely-same	0.84	Hanako's Foxtail Muffler 2	Mariwaka's Fox Tail Muffler 2	花子的狐狸披肩2
4304	likely-same	0.80	Hanako's Foxtail Coat	Mariwaka's Fox Tail Coat	花子的狐狸外套
4305	needs-review	0.26	Eliminating Dark Cloud Fox	The Fox Hunt	击退大云狐狸
4306	likely-same	0.98	The Lantern at Mushroom Shrine	The Lanterns at Mushroom Shrine	蘑菇神龛的提灯
4308	needs-review	0.41	Water Goblin's Cucumber	Cucumber Shuffle	水怪的黄瓜
4309	needs-review	0.23	Eliminating Blue Mushmom	Fungi Fever	击退蓝色蘑菇
4477	likely-same	0.70	News Special Report	[Missing Santa] News Special Report	News Special Report
4478	likely-same	0.77	Disappeared Santa Encyclopedia  	[Missing Santa] Disappeared Santa Encyclopedia	Disappeared Santa Encyclopedia
4479	needs-review	0.54	Santa Grandmother Finding	[Missing Santa] Mrs. Claus Finding	Mrs. Claus Finding
4480	likely-same	0.71	Common Sense Of Santa 	[Missing Santa] Common Sense Of Santa	Common Sense Of Santa
4481	likely-same	0.73	Socks Creation Recipes	[Missing Santa] Socks Creation Recipes	Socks Creation Recipes
4482	likely-same	0.78	Socks Actual Creation Action	[Missing Santa] Socks Actual Creation Action	Socks Actual Creation Action
4483	likely-same	0.62	Socks Hanging	[Missing Santa] Socks Hanging	Socks Hanging
4484	likely-same	0.65	Cliff's Request	[Missing Santa] Cliff's Request	Cliff's Request
4485	likely-same	0.69	Torr's Whereabouts	[Missing Santa] Torr's Whereabouts	Torr's Whereabouts
4486	likely-same	0.70	Santa Cat's request	[Missing Santa] Santa Cat's request	Santa Cat's request
4487	likely-same	0.80	Delivery of Rina cleaning device	[Missing Santa] Delivery of Rina cleaning device	Delivery of Rina cleaning device
4488	likely-same	0.69	Warm Milk Delivery	[Missing Santa] Warm Milk Delivery	Warm Milk Delivery
4489	needs-review	0.22	Delivery the word Thank 	[Missing Santa] To sleep Icarus	To sleep Icarus
4490	likely-same	0.65	Bicho's snowman	[Missing Santa] Bicho's snowman	Bicho's snowman
4503	needs-review	0.40	Clear the Rubbish	Rubbish Eradicator	清理垃圾
4504	needs-review	0.27	Stop'em!	Signing Away Your Life	拦住他们！
4505	needs-review	0.28	Stop the Speeder!	Take it Slow	拦住超速者！
4506	needs-review	0.22	Technical Assignment	Johnson's Day Off	技术任务
4507	needs-review	0.22	Angie's Beloved Costume 1	The Stolen Fire Extinguishers	安吉心爱的服饰 1
4508	needs-review	0.18	Angie's Beloved Costume 2	Boat Quay Clean-Up 1	安吉心爱的服饰 2
4509	needs-review	0.18	Angie's Beloved Costume 3	Boat Quay Clean-Up 2	安吉心爱的服饰 3
4510	likely-same	0.70	The secret of the past	Ghosts of the Past	过去的秘密
4511	needs-review	0.45	Making the path to the sea	Cutting a Path	前往海洋
4512	needs-review	0.59	The great secret reveals	Great Revelations	揭露惊天秘密
4513	needs-review	0.45	Fight for the future	Ghostworthy	为未来而战
4522	likely-same	0.70	The Lost White Essence	Missing White Essence	丢失的白色精华
4523	needs-review	0.39	Return of Capt. Latanica	The Captain Makes it Happen	幽灵船长的回归
4543	likely-same	0.95	I am Bored!	I'm Bored!	好无聊!
4544	needs-review	0.38	All taken away!	They're All Gone!	全都拿走!
4546	needs-review	0.50	Running out of Wigs!	Low on Wigs!	缺乏毛发
4547	needs-review	0.52	Tires are missing!	Missing Tires	轮胎不见了
4548	needs-review	0.29	Oly Oly is back!	More Missing Tires	偷轮胎犯回来了!
4550	needs-review	0.56	I need Vitamin C	Vitamin C, Stat!	我需要维他命C
4552	needs-review	0.40	My Scarfs are Stolen!	Stolen Scarves	我的围巾被偷了!
4553	needs-review	0.56	Gift for Dear Daddy	Dear Daddy's Gift	亲爱爸爸的礼物
4555	likely-same	0.97	Unexpected Guest	Unexpected Guests	不速之客
4557	needs-review	0.47	Lam wants to see the world	Little Lam, Big World	蓝想看世界
4559	likely-same	0.84	Gift for Brother	Gift for Lam's Brother	弟弟的礼物
4560	needs-review	0.60	Merry-go-round in Kampung	Kampung Merry-go-round	甘榜的旋转木马
4576	likely-same	0.80	Off to the Fantasy Theme Park	Off to Fantasy Theme World	前往梦幻主题公园
4918	likely-same	0.93	Featherweights	Featherweights 1	羽量级1
4928	needs-review	0.12	Jay's Curiosity	-	Jay's Curiosity
4929	needs-review	0.14	Gwin's Thanks	-	Gwin's Thanks
4930	needs-review	0.06	The Rememberer's Passion Part 1	-	The Rememberer's Passion Part 1
4931	needs-review	0.06	The Rememberer's Passion Part 2	-	The Rememberer's Passion Part 2
